County,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Humboldt,3/29/20,1,10,,,0,0,18
Lake,3/29/20,0,1,,,0,1,2
Kern,3/29/20,16,57,,,8,8,39
Yuba,3/29/20,2,12,,,2,4,2
Fresno,3/29/20,8,116,,,3,14,22
Yolo,3/29/20,2,3,,,1,1,0
San Diego,3/29/20,121,211,,,77,39,205
Modoc,3/29/20,0,0,,,0,0,
Sacramento,3/29/20,36,27,,,12,18,50
Contra Costa,3/29/20,23,62,,,8,15,62
Tuolumne,3/29/20,1,5,,,0,0,0
Los Angeles,3/29/20,489,1132,,,191,182,345
Santa Cruz,3/29/20,0,0,,,0,0,
Amador,3/29/20,1,0,,,0,0,2
Imperial,3/29/20,5,100,,,1,2,2
Placer,3/29/20,18,14,,,4,1,10
Del Norte,3/29/20,1,2,,,0,0,3
Tehama,3/29/20,0,0,,,0,0,2
Marin,3/29/20,7,13,,,2,6,11
Monterey,3/29/20,2,16,,,1,2,10
Sonoma,3/29/20,7,20,,,2,5,12
Nevada,3/29/20,23,,,,1,0,3
Tulare,3/29/20,6,13,,,5,3,7
Orange,3/29/20,74,167,,,31,40,131
San Joaquin,3/29/20,34,35,,,5,2,7
Inyo,3/29/20,,,,,,,
El Dorado,3/29/20,0,6,,,0,3,3
Sutter,3/29/20,0,0,,,0,0,
Madera,3/29/20,1,6,,,1,1,8
Alameda,3/29/20,36,91,,,20,16,119
Calaveras,3/29/20,,,,,,,
Ventura,3/29/20,24,85,,,5,19,14
Colusa,3/29/20,,,,,,,
Siskiyou,3/29/20,0,0,,,0,0,2
Mono,3/29/20,0,1,,,0,0,2
Santa Barbara,3/29/20,15,21,,,9,3,47
Glenn,3/29/20,,,,,,,
San Benito,3/29/20,1,1,,,1,0,1
San Mateo,3/29/20,46,27,,,16,10,28
San Luis Obispo,3/29/20,7,12,,,3,4,948
Shasta,3/29/20,0,0,,,0,0,
Merced,3/29/20,1,7,,,0,0,3
San Francisco,3/29/20,50,73,,,24,10,61
Santa Clara,3/29/20,141,72,,,65,15,70
Solano,3/29/20,7,27,,,4,1,28
San Bernardino,3/29/20,33,123,,,19,20,65
Stanislaus,3/29/20,20,48,,,9,8,25
Lassen,3/29/20,0,2,,,0,0,
Kings,3/29/20,2,5,,,1,0,2
Riverside,3/29/20,44,78,,,13,20,46
Napa,3/29/20,0,26,,,,,5
Mendocino,3/29/20,1,11,,,0,0,1
Plumas,3/29/20,0,1,,,0,1,
Butte,3/29/20,,,,,,,
Trinity,3/29/20,0,0,,,0,0,
San Mateo,3/30/20,56,40,,,18,11,47
Tehama,3/30/20,0,2,,,0,0,2
Mendocino,3/30/20,2,11,,,0,1,8
Santa Barbara,3/30/20,19,25,,,11,7,48
Sonoma,3/30/20,7,22,,,3,4,29
Imperial,3/30/20,19,109,,,3,3,4
Del Norte,3/30/20,0,2,,,0,0,5
Orange,3/30/20,98,251,,,42,58,131
Los Angeles,3/30/20,601,1277,,,245,244,456
Kern,3/30/20,18,123,,,6,8,51
Lassen,3/30/20,0,4,,,0,0,
Amador,3/30/20,0,1,,,0,0,4
Kings,3/30/20,2,12,,,1,2,0
San Francisco,3/30/20,58,92,,,18,7,90
Riverside,3/30/20,60,133,,,22,33,77
Napa,3/30/20,3,8,,,1,0,9
San Joaquin,3/30/20,28,30,,,8,4,53
Humboldt,3/30/20,1,8,,,0,0,10
Madera,3/30/20,1,5,,,1,3,4
Inyo,3/30/20,,,,,,,
Placer,3/30/20,19,19,,,5,1,29
Ventura,3/30/20,25,82,,,5,28,15
Alameda,3/30/20,59,89,,,27,18,146
Tulare,3/30/20,5,21,,,4,6,7
San Bernardino,3/30/20,67,179,,,27,33,66
Santa Clara,3/30/20,153,93,,,74,23,103
Monterey,3/30/20,11,16,,,4,0,17
Yolo,3/30/20,2,2,,,1,2,0
Calaveras,3/30/20,0,3,,,0,1,5
Solano,3/30/20,15,16,,,6,0,47
Modoc,3/30/20,0,31,,,0,0,
Santa Cruz,3/30/20,0,2,,,0,0,4
San Luis Obispo,3/30/20,5,11,,,3,4,957
Shasta,3/30/20,1,4,,,0,0,13
Plumas,3/30/20,0,1,,,0,0,
Marin,3/30/20,10,9,,,4,2,16
